#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Mon May 23 11:45:03 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_70_map.ncd
#OUTPUT FILE:      top_70_pad.csv
#PART TYPE:        xqv300
#SPEED GRADE:      -4
#PACKAGE:          cb228
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,,
P2,,,TMS,,,,,,,,,,,,,
P3,,IOB,IO,UNUSED,,7,,,,,,,,,,
P4,,IOB,IO,UNUSED,,7,,,,,,,,,,
P5,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P6,,IOB,IO,UNUSED,,7,,,,,,,,,,
P7,,IOB,IO,UNUSED,,7,,,,,,,,,,
P8,,,GND,,,,,,,,,,,,,
P9,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P10,,IOB,IO,UNUSED,,7,,,,,,,,,,
P11,,IOB,IO,UNUSED,,7,,,,,,,,,,
P12,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P13,,IOB,IO,UNUSED,,7,,,,,,,,,,
P14,,,GND,,,,,,,,,,,,,
P15,,,VCCINT,,,,,,,,2.5,,,,,
P16,,IOB,IO,UNUSED,,7,,,,,,,,,,
P17,,IOB,IO,UNUSED,,7,,,,,,,,,,
P18,,,VCCO,,,0,,,,,3.30,,,,,
P19,,IOB,IO,UNUSED,,7,,,,,,,,,,
P20,,IOB,IO,UNUSED,,7,,,,,,,,,,
P21,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P22,,IOB,IO,UNUSED,,7,,,,,,,,,,
P23,,IOB,IO,UNUSED,,7,,,,,,,,,,
P24,,IOB,IO,UNUSED,,7,,,,,,,,,,
P25,,IOB,IO,UNUSED,,7,,,,,,,,,,
P26,,PCIIOB,IO_IRDY,UNUSED,,7,,,,,,,,,,
P27,,,GND,,,,,,,,,,,,,
P28,,,VCCO,,,0,,,,,3.30,,,,,
P29,,PCIIOB,IO_TRDY,UNUSED,,6,,,,,,,,,,
P30,,,VCCINT,,,,,,,,2.5,,,,,
P31,,IOB,IO,UNUSED,,6,,,,,,,,,,
P32,,IOB,IO,UNUSED,,6,,,,,,,,,,
P33,,IOB,IO,UNUSED,,6,,,,,,,,,,
P34,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P35,,IOB,IO,UNUSED,,6,,,,,,,,,,
P36,,IOB,IO,UNUSED,,6,,,,,,,,,,
P37,,,VCCO,,,0,,,,,3.30,,,,,
P38,,IOB,IO,UNUSED,,6,,,,,,,,,,
P39,,IOB,IO,UNUSED,,6,,,,,,,,,,
P40,,IOB,IO,UNUSED,,6,,,,,,,,,,
P41,,,VCCINT,,,,,,,,2.5,,,,,
P42,,,GND,,,,,,,,,,,,,
P43,,IOB,IO,UNUSED,,6,,,,,,,,,,
P44,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P45,,IOB,IO,UNUSED,,6,,,,,,,,,,
P46,,IOB,IO,UNUSED,,6,,,,,,,,,,
P47,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P48,,,GND,,,,,,,,,,,,,
P49,,IOB,IO,UNUSED,,6,,,,,,,,,,
P50,,IOB,IO,UNUSED,,6,,,,,,,,,,
