##clock input	
fpga_clk_40m	U1.M2 
clk.lvds.p	U1.N20 
clk.lvds.n	U1.N19 
clk_b_p	U1.M21 
clk_b_n	U1.M20 
	
testio1	U1.C9 
testio2	U1.B9 
done_ok	U1.B10 
	
sdr0_a_o[0]	U1.AA13
sdr0_a_o[1]	U1.W13
sdr0_a_o[10]	U1.V14
sdr0_a_o[11]	U1.U15
sdr0_a_o[12]	U1.W15
sdr0_a_o[2]	U1.U13
sdr0_a_o[3]	U1.Y12
sdr0_a_o[4]	U1.W12
sdr0_a_o[5]	U1.AA12
sdr0_a_o[6]	U1.V13
sdr0_a_o[7]	U1.Y13
sdr0_a_o[8]	U1.AB13
sdr0_a_o[9]	U1.W14
sdr0_ba_o[0]	U1.V15
sdr0_ba_o[1]	U1.Y14
sdr0_dq_io[0]	U1.W22
sdr0_dq_io[1]	U1.W20
sdr0_dq_io[10]	U1.AB17
sdr0_dq_io[11]	U1.AA18
sdr0_dq_io[12]	U1.Y21
sdr0_dq_io[13]	U1.V18
sdr0_dq_io[14]	U1.W21
sdr0_dq_io[15]	U1.V19
sdr0_dq_io[2]	U1.Y22
sdr0_dq_io[3]	U1.W19
sdr0_dq_io[4]	U1.AB18
sdr0_dq_io[5]	U1.Y18
sdr0_dq_io[6]	U1.AA17
sdr0_dq_io[7]	U1.W17
sdr0_dq_io[8]	U1.AB16
sdr0_dq_io[9]	U1.Y17
sdr0_dqm_o[1]	U1.Y16
sdr0_dqm_o[0]	U1.AA16
sdr0_cas_o	U1.V16
sdr0_cke_o	U1.Y15
sdr0_cs_o	U1.U16
sdr0_ras_o	U1.AA15
sdr0_we_o	U1.W16
sdr0_clk_o	U1.AB15
	
##ics8442	
ics_sck	U1.R18
ics_sdo	U1.R17
ics_sload	U1.T18
ics_pload_n	U1.U17
ics_xsel	U1.T17
ics_vcosell	U1.U18
	
##temperature sensor	
temperature	U1.Y20
	
##connected to dut through resister	
jtag_tck_a	U1.B8
jtag_tdi_a	U1.A8
jtag_tdo_a	U1.A6
jtag_tms_a	U1.A5
m0_a	U1.B12
m1_a	U1.C12
m2_a	U1.B11
selectmap_busy_a	U1.D3
selectmap_csn_a	U1.B6
selectmap_d0_a	U1.C4
selectmap_d1_a	U1.F4
selectmap_d2_a	U1.F2
selectmap_d3_a	U1.G4
selectmap_d4_a	U1.J3
selectmap_d5_a	U1.K5
selectmap_d6_a	U1.K4
selectmap_d7_a	U1.P6
selectmap_writen_a	U1.D6
xconfig_cclk_a	U1.D1
xconfig_done_a	U1.T6
xconfig_initn_a	U1.P2
xconfig_progn_a	U1.R1
	
##power up	
##corecap_en_o[0]
##iocap_en_o[0]
en_core_100	U1.H18
en_core_1000	U1.J16
en_core_470	U1.J17
en_core_4700	U1.T16
en_io_100	U1.D5
en_io_1000	U1.R8
en_io_470	U1.P8
en_io_4700	U1.AA9 
en_vtest	U1.C10 
	
	
ads7841_busy	U1.J18
ads7841_busy_i1	U1.F15
ads7841_busy_i2	U1.T13
ads7841_cs	U1.L16
ads7841_cs_i1	U1.F14
ads7841_cs_i2	U1.U14
ads7841_dclk	U1.K18
ads7841_dclk_i1	U1.H14
ads7841_dclk_i2	U1.T14
ads7841_din	U1.K17
ads7841_din_i1	U1.J15
ads7841_din_i2	U1.U12
ads7841_dout	U1.J19
ads7841_dout_i1	U1.F16
ads7841_dout_i2	U1.T15
	
dac7612_clk	U1.P18
dac7612_cs	U1.P17
dac7612_load	U1.N15
dac7612_sdi	U1.P19
	
gck_o[0]	U1.N8
gck_o[1]	U1.K6
gck_o[2]	U1.A10 
gck_o[3]	U1.G6
	
dut_b0_io[0]	U1.D12
dut_b0_io[1]	U1.C16
dut_b0_io[10]	U1.E15
dut_b0_io[11]	U1.C15
dut_b0_io[12]	U1.C13
dut_b0_io[13]	U1.B15
dut_b0_io[14]	U1.D14
dut_b0_io[15]	U1.A16
dut_b0_io[16]	U1.A15
dut_b0_io[17]	U1.F13
dut_b0_io[18]	U1.D15
dut_b0_io[2]	U1.E12
dut_b0_io[3]	U1.A13
dut_b0_io[4]	U1.B16
dut_b0_io[5]	U1.E11
dut_b0_io[6]	U1.E16
dut_b0_io[7]	U1.C14
dut_b0_io[8]	U1.D13
dut_b0_io[9]	U1.B13
dut_b1_io[0]	U1.A7
dut_b1_io[1]	U1.C6
dut_b1_io[10]	U1.F6
dut_b1_io[11]	U1.F8
dut_b1_io[12]	U1.E6
dut_b1_io[13]	U1.E8
dut_b1_io[14]	U1.C11
dut_b1_io[15]	U1.E9
dut_b1_io[16]	U1.E10
dut_b1_io[17]	U1.F9
dut_b1_io[2]	U1.C7
dut_b1_io[3]	U1.B5
dut_b1_io[4]	U1.B7
dut_b1_io[5]	U1.F7
dut_b1_io[6]	U1.C5
dut_b1_io[7]	U1.E7
dut_b1_io[8]	U1.D8
dut_b1_io[9]	U1.C8
dut_b2_io[0]	U1.H1
dut_b2_io[1]	U1.H6
dut_b2_io[10]	U1.E4
dut_b2_io[11]	U1.E3
dut_b2_io[12]	U1.E1
dut_b2_io[13]	U1.D2
dut_b2_io[14]	U1.E2
dut_b2_io[15]	U1.C1
dut_b2_io[16]	U1.C2
dut_b2_io[2]	U1.H2
dut_b2_io[3]	U1.H3
dut_b2_io[4]	U1.G5
dut_b2_io[5]	U1.G2
dut_b2_io[6]	U1.G1
dut_b2_io[7]	U1.F5
dut_b2_io[8]	U1.G3
dut_b2_io[9]	U1.F1
dut_b3_io[0]	U1.N1
dut_b3_io[1]	U1.L7
dut_b3_io[10]	U1.K2
dut_b3_io[11]	U1.J2
dut_b3_io[12]	U1.J5
dut_b3_io[13]	U1.H4
dut_b3_io[14]	U1.H5
dut_b3_io[2]	U1.P3
dut_b3_io[3]	U1.N2
dut_b3_io[4]	U1.N7
dut_b3_io[5]	U1.L2
dut_b3_io[6]	U1.L3
dut_b3_io[7]	U1.K3
dut_b3_io[8]	U1.J6
dut_b3_io[9]	U1.K1
dut_b4_io[0]	U1.T4
dut_b4_io[1]	U1.V1
dut_b4_io[10]	U1.T5
dut_b4_io[11]	U1.V3
dut_b4_io[12]	U1.P5
dut_b4_io[13]	U1.U1
dut_b4_io[14]	U1.U4
dut_b4_io[15]	U1.R5
dut_b4_io[16]	U1.U5
dut_b4_io[17]	U1.R6
dut_b4_io[18]	U1.T3
dut_b4_io[19]	U1.T2
dut_b4_io[2]	U1.V4
dut_b4_io[20]	U1.T1
dut_b4_io[3]	U1.R2
dut_b4_io[4]	U1.W2
dut_b4_io[5]	U1.W1
dut_b4_io[6]	U1.R4
dut_b4_io[7]	U1.U2
dut_b4_io[8]	U1.R3
dut_b4_io[9]	U1.V2
dut_b5_io[0]	U1.R19
dut_b5_io[1]	U1.P21
dut_b5_io[10]	U1.U22
dut_b5_io[11]	U1.T20
dut_b5_io[12]	U1.U20
dut_b5_io[13]	U1.U19
dut_b5_io[14]	U1.U21
dut_b5_io[15]	U1.L21
dut_b5_io[16]	U1.V22
dut_b5_io[17]	U1.V21
dut_b5_io[18]	U1.N22
